ID,Name,Type,Species,Subspecies,Price,Quantity,Blooms
1,Роза,Кімнатна,Роза,Грандіфлора,300,000000,10,true
2,Тюльпан,Садовий,Тюльпан,Тріумф,150,000000,15,false
3,Орхідея,Кімнатна,Фаленопсис,Міні,500,000000,5,true
4,Лілія,Садовий,Лілія,Азіатська,200,000000,12,false
5,Хризантема,Садовий,Хризантема,Корейська,250,000000,20,true
6,Гербера,Кімнатна,Гербера,Велика,350,000000,70,true
7,Півонія,Садовий,Півонія,Трав'яниста,400,000000,8,false
8,Азалія,Кімнатна,Азалія,Індійська,450,000000,6,true
9,Бегонія,Кімнатна,Бегонія,Елатіор,275,000000,19,true
10,Гладіолус,Садовий,Гладіолус,Великоквітковий,125,000000,14,false
11,Фіалка,Кімнатна,Сенполія,Мініатюрна,100,000000,30,true
12,Калла,Садовий,Калла,Ефіопська,350,000000,11,false
13,Далія,Садовий,Далія,Кактусова,300,000000,13,true
14,Камелія,Кімнатна,Камелія,Японська,550,000000,44,true
15,Нарцис,Садовий,Нарцис,Трубчастий,180,000000,16,false
16,Кактус,Кімнатна,Опунція,Мікродасіс,120,000000,18,false
17,Амариліс,Кімнатна,Амариліс,Гібридний,320,000000,5,true
18,Крокус,Садовий,Крокус,Вернус,210,000000,22,false
19,Анемона,Садовий,Анемона,Корончатая,190,000000,17,true
20,Каланхое,Кімнатна,Каланхое,Блосфельда,260,000000,8,true
21,Ірис,Садовий,Ірис,Бородатий,240,000000,13,false
22,Гіацинт,Садовий,Гіацинт,Восточний,280,000000,7,true
23,Магнолія,Садовий,Магнолія,Суланжа,600,000000,3,true
24,Петунія,Садовий,Петунія,Гібридна,130,000000,25,false
25,Примула,Кімнатна,Примула,Обконіка,110,000000,20,true
26,Соняшник,Садовий,Соняшник,Великоголовий,150,000000,9,false
27,Фрезія,Садовий,Фрезія,Гібридна,170,000000,14,true
28,Цикламен,Кімнатна,Цикламен,Перський,290,000000,6,true
29,Шефлера,Кімнатна,Шефлера,Актинопода,310,000000,12,true
30,Еустома,Садовий,Еустома,Руселліана,350,000000,300,false
31,Роза,Кімнатна,Роза,Ті Роза,320,000000,50,true
32,Роза,Кімнатна,Роза,Флорібунда,310,000000,90,true
33,Роза,Садовий,Роза,Поліантова,300,000000,150,true
34,Роза,Садовий,Роза,Кордес,290,000000,700,true
35,Нарцис,Садовий,Нарцис,Двокольоровий,200,000000,20,false
36,Нарцис,Садовий,Нарцис,Білий,180,000000,25,false
37,Нарцис,Садовий,Нарцис,Жовтий,170,000000,30,false
22,ll,ll,ll,ll,10,000000,10,false
